Date,Product_Name,Customer_ID,Quantity_Sold,Selling_Price,Cost_Price,Festival
2024-04-10,Sugar,C0296,2,37,27,0
2024-05-10,Butter,C0203,4,75,60,0
2024-09-13,Bread,C0061,4,72,63,1
2024-01-05,Bread,C0161,4,26,15,0
2024-08-05,Oil,C0016,4,88,81,0
2024-09-11,Dal,C0094,3,91,86,0
2024-12-24,Dal,C0138,7,98,85,0
2024-10-09,Rice,C0038,9,71,65,0
2024-07-25,Eggs,C0127,5,23,6,0
2024-01-15,Bread,C0275,4,53,39,0
2024-12-11,Sugar,C0164,2,88,69,0
2024-02-11,Oil,C0077,2,52,45,1
2024-06-27,Oil,C0174,5,88,76,0
2024-03-03,Eggs,C0091,7,57,41,0
2024-12-17,Butter,C0238,9,45,31,0
2024-08-18,Eggs,C0264,7,20,7,0
2024-08-28,Eggs,C0179,5,23,6,1
2024-02-21,Eggs,C0209,6,58,51,0
2024-04-05,Dal,C0073,3,73,63,0
2024-08-09,Bread,C0107,5,52,41,0
2024-08-18,Rice,C0295,8,52,33,0
2024-08-24,Bread,C0284,1,91,86,0
2024-05-22,Butter,C0182,1,39,21,0
2024-06-19,Milk,C0037,7,35,24,0
2024-01-29,Eggs,C0137,5,40,32,0
2024-02-05,Bread,C0056,5,64,55,0
2024-01-13,Butter,C0187,1,81,69,0
2024-06-08,Milk,C0258,9,50,42,1
2024-11-22,Milk,C0058,1,61,42,0
2024-07-05,Eggs,C0123,5,31,23,0
2024-08-30,Rice,C0188,9,84,72,0
2024-03-26,Sugar,C0230,4,92,73,0
2024-10-10,Dal,C0168,8,22,13,0
2024-03-06,Bread,C0114,6,28,11,0
2024-06-18,Milk,C0252,3,70,60,0
2024-02-14,Bread,C0107,4,35,19,0
2024-03-02,Sugar,C0037,2,97,82,0
2024-05-13,Dal,C0092,1,22,4,0
2024-10-10,Sugar,C0018,8,43,34,0
2024-01-28,Dal,C0063,1,92,87,0
2024-04-17,Oil,C0150,1,32,21,0
2024-02-13,Dal,C0139,4,21,11,0
2024-12-05,Eggs,C0186,6,90,84,0
2024-10-12,Rice,C0185,9,40,25,0
2024-11-26,Sugar,C0205,1,38,27,0
2024-05-07,Milk,C0260,7,66,56,0
2024-12-13,Eggs,C0214,5,41,32,0
2024-08-18,Oil,C0256,8,94,82,0
2024-07-08,Rice,C0135,7,52,43,0
2024-08-12,Bread,C0061,4,51,36,0
2024-10-09,Eggs,C0088,4,83,77,1
2024-04-30,Sugar,C0207,6,58,48,1
2024-04-25,Butter,C0129,6,91,73,0
2024-08-20,Butter,C0003,9,61,45,0
2024-09-15,Milk,C0242,5,28,23,0
2024-12-24,Dal,C0121,8,44,35,0
2024-07-16,Milk,C0102,5,21,3,0
2024-05-16,Butter,C0038,2,38,28,0
2024-11-13,Bread,C0133,6,39,20,0
2024-06-13,Oil,C0202,9,89,78,0
2024-08-12,Oil,C0021,3,36,18,0
2024-11-02,Sugar,C0242,1,87,81,0
2024-08-21,Oil,C0109,1,22,17,0
2024-06-20,Sugar,C0084,3,70,60,0
2024-05-31,Eggs,C0083,5,45,38,0
2024-11-10,Sugar,C0291,3,75,66,0
2024-06-08,Eggs,C0069,9,83,67,1
2024-04-05,Sugar,C0129,8,27,8,1
2024-08-20,Butter,C0196,3,56,41,0
2024-06-28,Butter,C0140,9,46,29,0
2024-04-22,Dal,C0283,6,64,45,0
2024-11-13,Eggs,C0234,7,23,17,0
2024-02-21,Rice,C0023,4,56,37,0
2024-09-24,Eggs,C0153,4,90,85,1
2024-10-21,Sugar,C0277,2,52,47,0
2024-04-22,Sugar,C0061,5,50,33,0
2024-04-10,Rice,C0052,8,74,59,0
2024-04-22,Milk,C0153,7,31,23,0
2024-03-21,Sugar,C0237,7,30,16,0
2024-07-05,Dal,C0032,6,91,74,0
2024-04-22,Oil,C0055,3,51,45,0
2024-01-02,Oil,C0036,5,76,71,0
2024-05-09,Bread,C0110,1,57,47,0
2024-08-07,Bread,C0177,7,79,61,0
2024-02-23,Oil,C0295,9,38,30,1
2024-12-08,Oil,C0097,1,75,61,0
2024-08-11,Butter,C0213,2,33,16,1
2024-08-12,Dal,C0137,3,52,36,0
2024-05-05,Rice,C0006,3,29,10,0
2024-05-09,Bread,C0109,8,99,88,0
2024-02-22,Butter,C0035,7,83,68,0
2024-06-20,Butter,C0039,6,83,73,1
2024-08-05,Rice,C0150,4,81,72,1
2024-06-08,Butter,C0118,9,87,73,0
2024-07-16,Eggs,C0261,1,62,46,0
2024-09-03,Dal,C0087,2,99,82,0
2024-11-19,Oil,C0076,4,78,62,1
2024-07-21,Sugar,C0214,3,71,55,0
2024-07-02,Rice,C0285,1,38,22,0
2024-05-02,Oil,C0239,5,40,34,0
2024-09-11,Oil,C0165,7,41,32,0
2024-10-20,Milk,C0087,2,28,15,1
2024-10-06,Eggs,C0141,5,28,15,0
2024-11-20,Rice,C0160,6,92,86,0
2024-04-07,Butter,C0046,7,46,35,0
2024-07-16,Sugar,C0112,1,36,22,0
2024-08-27,Rice,C0045,7,63,45,0
2024-05-23,Butter,C0247,4,64,56,0
2024-04-06,Oil,C0104,8,27,10,1
2024-07-19,Sugar,C0085,4,99,82,0
2024-05-03,Butter,C0134,6,37,30,0
2024-07-05,Dal,C0108,9,52,37,0
2024-11-21,Butter,C0018,5,20,15,0
2024-12-14,Milk,C0094,4,95,88,1
2024-09-15,Eggs,C0150,8,25,10,0
2024-05-27,Oil,C0246,9,60,47,0
2024-09-08,Butter,C0289,4,74,56,0
2024-12-11,Eggs,C0209,3,24,5,0
2024-05-26,Bread,C0126,8,78,65,0
2024-05-27,Bread,C0235,5,99,88,1
2024-12-17,Eggs,C0122,2,37,30,0
2024-07-17,Eggs,C0138,9,68,51,0
2024-11-03,Milk,C0115,3,84,77,0
2024-05-07,Dal,C0162,2,73,65,0
2024-02-08,Oil,C0201,1,80,69,0
2024-12-03,Rice,C0234,8,27,16,1
2024-12-25,Milk,C0028,3,22,6,0
2024-05-08,Dal,C0011,7,44,28,0
2024-09-23,Eggs,C0206,1,88,70,0
2024-05-30,Rice,C0167,1,74,68,0
2024-10-24,Eggs,C0247,9,59,43,0
2024-04-08,Eggs,C0047,8,69,50,1
2024-09-19,Bread,C0246,3,52,43,0
2024-09-08,Bread,C0127,6,37,26,1
2024-05-23,Rice,C0147,3,76,65,0
2024-12-11,Milk,C0118,4,35,25,0
2024-04-21,Bread,C0152,1,99,85,0
2024-02-29,Oil,C0072,5,57,43,0
2024-01-02,Eggs,C0137,1,60,44,0
2024-10-30,Sugar,C0175,1,26,14,0
2024-09-10,Butter,C0289,7,97,90,0
2024-05-19,Rice,C0019,6,72,53,0
2024-02-06,Rice,C0195,2,82,77,1
2024-06-08,Bread,C0175,2,51,44,0
2024-01-09,Milk,C0141,7,57,42,1
2024-08-20,Eggs,C0246,1,41,35,0
2024-04-08,Oil,C0093,2,35,29,0
2024-05-26,Milk,C0239,8,71,53,0
2024-10-30,Dal,C0205,6,48,30,0
2024-07-26,Dal,C0048,2,35,29,1
2024-05-10,Sugar,C0245,7,95,86,0
2024-05-31,Bread,C0295,4,36,19,1
2024-02-23,Bread,C0128,2,83,78,1
2024-04-29,Bread,C0282,6,32,18,0
2024-06-09,Sugar,C0017,9,91,83,1
2024-04-25,Dal,C0071,9,75,57,0
2024-03-15,Milk,C0269,8,24,10,1
2024-04-22,Sugar,C0282,3,31,22,0
2024-04-13,Sugar,C0007,3,60,54,0
2024-12-05,Milk,C0103,2,22,13,1
2024-09-10,Bread,C0193,5,52,38,0
2024-08-14,Oil,C0241,4,69,50,0
2024-04-21,Milk,C0062,7,75,67,0
2024-04-08,Dal,C0017,4,28,16,0
2024-06-01,Rice,C0171,9,69,64,0
2024-12-14,Eggs,C0025,2,48,29,0
2024-12-03,Rice,C0251,6,58,42,0
2024-07-12,Butter,C0253,7,64,55,0
2024-11-05,Butter,C0207,4,36,18,0
2024-06-11,Sugar,C0029,6,75,57,0
2024-07-26,Eggs,C0117,7,65,50,0
2024-06-17,Rice,C0282,4,86,70,0
2024-06-09,Oil,C0144,8,88,74,1
2024-03-08,Bread,C0025,9,33,28,0
2024-10-15,Dal,C0156,1,86,72,0
2024-10-03,Butter,C0073,7,42,28,1
2024-10-30,Oil,C0120,9,80,72,0
2024-05-14,Dal,C0093,5,42,30,0
2024-07-13,Dal,C0086,2,46,41,0
2024-05-07,Bread,C0118,6,73,58,1
2024-02-02,Eggs,C0233,7,29,10,0
2024-06-24,Sugar,C0199,2,96,90,0
2024-01-22,Rice,C0206,2,35,30,0
2024-08-25,Bread,C0147,1,60,45,0
2024-06-06,Oil,C0271,4,74,63,0
2024-02-07,Sugar,C0139,7,80,74,0
2024-08-17,Oil,C0181,9,68,63,0
2024-12-30,Sugar,C0030,3,92,73,0
2024-02-20,Eggs,C0057,7,71,55,0
2024-09-20,Butter,C0232,7,21,11,0
2024-10-09,Oil,C0146,7,69,59,0
2024-01-27,Bread,C0048,2,62,48,1
2024-08-13,Sugar,C0194,6,96,90,0
2024-10-03,Sugar,C0224,2,27,8,0
2024-10-12,Dal,C0136,6,78,73,1
2024-04-06,Dal,C0022,3,84,66,0
2024-10-10,Milk,C0006,2,31,17,0
2024-11-12,Oil,C0204,6,23,16,0
2024-10-30,Dal,C0239,2,96,82,0
2024-05-26,Milk,C0185,5,60,42,1
2024-01-04,Butter,C0292,2,26,17,0
2024-02-04,Butter,C0220,3,88,78,0
2024-07-10,Dal,C0116,3,88,81,0
2024-02-18,Oil,C0049,6,49,36,0
2024-01-17,Sugar,C0173,6,92,77,0
2024-06-20,Rice,C0082,3,25,16,0
2024-08-07,Eggs,C0045,3,38,21,0
2024-06-06,Oil,C0020,1,99,93,0
2024-02-15,Eggs,C0221,7,85,71,1
2024-01-06,Bread,C0123,8,29,19,0
2024-04-08,Butter,C0234,2,35,19,0
2024-08-20,Dal,C0221,4,56,44,0
2024-02-06,Dal,C0003,7,98,83,0
2024-10-06,Eggs,C0182,8,96,86,0
2024-12-14,Sugar,C0206,1,96,88,0
2024-10-28,Eggs,C0040,4,51,41,0
2024-06-29,Bread,C0059,6,66,54,0
2024-04-04,Sugar,C0062,3,91,79,1
2024-04-08,Bread,C0132,5,62,45,0
2024-07-06,Rice,C0060,9,55,41,0
2024-04-25,Butter,C0122,3,45,39,0
2024-07-09,Dal,C0107,5,29,17,0
2024-09-09,Dal,C0096,8,50,40,0
2024-06-09,Rice,C0235,6,48,42,1
2024-09-12,Milk,C0062,4,24,19,0
2024-11-18,Butter,C0256,8,96,86,0
2024-05-07,Sugar,C0049,3,20,3,0
2024-01-18,Rice,C0159,3,22,11,1
2024-10-07,Sugar,C0124,4,86,68,0
2024-08-10,Eggs,C0207,9,90,72,0
2024-02-23,Oil,C0048,5,54,40,0
2024-02-27,Dal,C0136,8,34,25,0
2024-11-18,Sugar,C0201,6,86,68,0
2024-12-25,Bread,C0250,3,49,35,0
2024-06-22,Sugar,C0295,8,94,82,0
2024-10-06,Oil,C0209,9,62,47,0
2024-04-23,Butter,C0211,8,79,62,1
2024-10-14,Dal,C0192,4,59,43,0
2024-12-07,Eggs,C0044,6,84,71,1
2024-05-30,Rice,C0029,1,48,40,0
2024-05-06,Eggs,C0059,4,93,82,0
2024-06-03,Oil,C0071,8,38,26,0
2024-09-29,Dal,C0092,1,22,5,0
2024-04-13,Sugar,C0265,3,55,45,0
2024-10-25,Butter,C0220,1,62,56,0
2024-09-02,Milk,C0215,9,34,23,0
2024-06-24,Butter,C0277,2,60,43,0
2024-02-08,Milk,C0064,9,99,86,0
2024-06-18,Bread,C0292,4,55,46,0
2024-09-03,Butter,C0245,2,96,77,0
2024-01-26,Dal,C0062,4,52,46,0
2024-12-20,Milk,C0170,6,24,16,0
2024-11-01,Rice,C0269,7,97,90,1
2024-01-13,Dal,C0267,3,33,25,1
2024-11-11,Rice,C0054,3,87,73,0
2024-11-08,Butter,C0016,8,66,55,0
2024-02-05,Rice,C0008,5,73,59,0
2024-06-21,Milk,C0104,4,23,11,0
2024-01-20,Dal,C0059,7,28,23,0
2024-11-16,Sugar,C0040,7,72,55,0
2024-09-20,Oil,C0237,9,96,84,0
2024-05-21,Milk,C0094,9,97,88,0
2024-05-22,Milk,C0222,5,79,63,0
2024-04-01,Sugar,C0204,8,65,54,0
2024-12-19,Dal,C0138,1,73,58,0
2024-11-17,Dal,C0300,9,93,78,0
2024-10-14,Eggs,C0207,8,56,51,1
2024-08-02,Butter,C0081,6,42,36,0
2024-12-07,Rice,C0218,3,46,41,0
2024-02-20,Butter,C0002,3,89,80,0
2024-06-01,Sugar,C0178,8,85,67,0
2024-07-04,Butter,C0279,5,80,62,0
2024-03-03,Sugar,C0146,7,96,86,0
2024-07-08,Dal,C0224,5,70,56,0
2024-05-04,Rice,C0062,8,69,56,1
2024-05-29,Butter,C0294,4,38,26,0
2024-11-09,Milk,C0239,2,20,9,1
2024-02-27,Bread,C0195,3,59,43,0
2024-12-07,Eggs,C0166,8,51,42,1
2024-10-31,Oil,C0222,7,41,23,0
2024-06-28,Milk,C0061,2,85,66,0
2024-06-18,Dal,C0129,6,59,52,0
2024-11-21,Oil,C0173,9,57,44,0
2024-09-27,Bread,C0156,4,67,50,0
2024-02-23,Bread,C0110,9,74,65,0
2024-04-10,Rice,C0269,2,94,87,1
2024-09-20,Oil,C0278,2,74,67,1
2024-02-22,Rice,C0074,9,70,63,0
2024-02-29,Milk,C0207,7,79,61,0
2024-04-17,Sugar,C0279,7,27,17,0
2024-01-05,Sugar,C0204,1,87,82,0
2024-04-12,Sugar,C0161,6,94,79,0
2024-07-14,Oil,C0028,7,91,83,0
2024-09-18,Sugar,C0257,6,28,11,1
2024-12-30,Milk,C0165,6,21,9,0
2024-12-15,Rice,C0063,2,99,92,0
2024-02-16,Oil,C0022,6,89,80,0
2024-12-20,Rice,C0070,4,78,72,0
2024-11-06,Oil,C0096,9,38,19,0
2024-11-03,Rice,C0163,1,47,41,0
2024-05-23,Bread,C0079,8,91,76,0
2024-09-25,Rice,C0005,5,33,16,0
2024-05-03,Sugar,C0120,1,43,32,0
2024-04-15,Bread,C0178,4,63,49,0
2024-06-06,Rice,C0176,1,75,68,0
2024-05-26,Oil,C0217,6,70,61,0
2024-05-24,Oil,C0056,2,51,44,0
2024-04-29,Eggs,C0187,5,69,59,0
2024-11-14,Oil,C0232,7,60,43,0
2024-10-01,Dal,C0255,2,85,71,1
2024-04-01,Milk,C0104,6,44,37,0
2024-02-27,Oil,C0077,6,80,68,1
2024-12-11,Bread,C0230,5,85,79,0
2024-08-16,Eggs,C0258,5,61,54,0
2024-04-26,Oil,C0264,3,84,72,1
2024-11-13,Dal,C0182,2,55,43,0
2024-10-05,Sugar,C0256,7,95,90,0
2024-05-06,Bread,C0038,1,28,16,0
2024-05-08,Dal,C0176,6,55,41,1
2024-02-27,Sugar,C0027,6,57,51,0
2024-05-01,Butter,C0276,3,52,36,0
2024-01-01,Butter,C0140,2,61,50,0
2024-08-26,Bread,C0299,2,80,70,1
2024-10-16,Rice,C0287,9,65,59,0
2024-04-05,Milk,C0091,5,80,71,0
2024-05-05,Eggs,C0061,7,37,26,0
2024-04-27,Milk,C0163,5,89,77,0
2024-02-17,Dal,C0143,7,99,92,0
2024-03-29,Sugar,C0253,4,34,29,0
2024-08-24,Milk,C0269,8,67,50,0
2024-09-28,Sugar,C0291,7,91,80,0
2024-07-07,Sugar,C0187,5,32,15,0
2024-07-10,Dal,C0291,6,62,53,0
2024-03-09,Dal,C0086,5,79,70,0
2024-10-04,Dal,C0166,7,76,65,0
2024-12-14,Milk,C0114,2,90,85,0
2024-09-03,Butter,C0183,5,36,24,1
2024-03-16,Dal,C0207,3,69,53,0
2024-06-02,Eggs,C0256,9,51,33,0
2024-05-23,Milk,C0235,6,41,27,0
2024-03-26,Dal,C0003,3,74,55,0
2024-07-03,Oil,C0208,7,76,67,1
2024-10-11,Sugar,C0197,4,32,20,1
2024-08-07,Eggs,C0125,3,66,52,0
2024-03-09,Dal,C0138,8,81,62,0
2024-02-16,Bread,C0025,4,73,59,0
2024-04-03,Sugar,C0068,1,48,39,0
2024-08-25,Sugar,C0061,6,41,25,0
2024-07-22,Dal,C0029,1,84,73,0
2024-08-05,Butter,C0019,5,48,34,0
2024-12-06,Rice,C0171,7,67,60,0
2024-02-08,Butter,C0074,6,24,18,0
2024-04-09,Dal,C0061,2,54,44,0
2024-10-15,Sugar,C0153,4,93,84,0
2024-09-10,Eggs,C0276,2,90,77,0
2024-08-09,Bread,C0048,1,65,51,0
2024-12-22,Eggs,C0211,3,54,46,0
2024-01-23,Eggs,C0139,3,64,49,0
2024-09-06,Sugar,C0110,7,32,25,0
2024-01-10,Butter,C0183,1,29,16,0
2024-09-02,Bread,C0028,9,85,73,1
2024-11-20,Milk,C0197,6,89,79,0
2024-04-09,Oil,C0191,4,91,86,0
2024-10-16,Sugar,C0051,3,44,26,0
2024-06-28,Dal,C0149,3,63,49,1
2024-08-10,Milk,C0268,2,79,62,0
2024-09-06,Oil,C0050,2,66,50,0
2024-05-26,Dal,C0246,5,59,44,0
2024-04-05,Eggs,C0113,9,26,21,0
2024-09-13,Rice,C0170,2,65,49,0
2024-11-20,Dal,C0166,2,42,32,0
2024-01-04,Bread,C0014,6,65,48,0
2024-01-16,Bread,C0203,2,32,25,0
2024-10-06,Rice,C0288,4,40,33,0
2024-12-01,Milk,C0189,6,20,10,1
2024-09-03,Oil,C0155,5,38,21,0
2024-09-14,Dal,C0055,1,79,72,0
2024-06-08,Bread,C0182,6,52,35,0
2024-12-05,Milk,C0210,1,23,8,1
2024-05-31,Rice,C0075,3,22,8,0
2024-06-26,Butter,C0277,5,71,61,0
2024-06-11,Sugar,C0133,5,47,38,0
2024-02-02,Butter,C0059,6,89,81,0
2024-06-27,Butter,C0182,8,89,77,0
2024-04-10,Bread,C0064,5,74,68,0
2024-09-24,Eggs,C0260,1,76,57,0
2024-11-18,Eggs,C0193,5,35,19,1
2024-03-05,Rice,C0143,3,43,25,0
2024-06-16,Dal,C0104,4,88,73,0
2024-11-25,Eggs,C0214,8,60,49,1
2024-02-12,Butter,C0242,7,96,88,1
2024-02-13,Eggs,C0209,5,66,60,0
2024-10-11,Butter,C0093,2,95,76,1
2024-01-12,Oil,C0142,6,88,77,0
2024-04-04,Bread,C0112,6,50,33,0
2024-10-28,Bread,C0059,6,49,44,1
2024-09-09,Dal,C0043,9,37,29,0
2024-08-29,Eggs,C0207,8,63,50,0
2024-02-04,Eggs,C0268,8,46,28,0
2024-08-02,Sugar,C0296,1,45,37,0
2024-12-02,Milk,C0118,5,79,63,0
2024-03-30,Oil,C0020,7,37,20,0
2024-09-20,Bread,C0222,6,75,68,1
2024-04-02,Oil,C0166,5,50,36,0
2024-03-30,Bread,C0131,8,78,64,0
2024-04-24,Oil,C0156,3,21,15,1
2024-04-14,Rice,C0184,6,58,40,0
2024-07-14,Butter,C0090,5,80,61,0
2024-11-09,Bread,C0094,8,82,75,0
2024-04-23,Oil,C0013,4,37,32,0
2024-03-15,Eggs,C0293,8,36,22,0
2024-08-04,Milk,C0230,2,58,46,0
2024-10-03,Rice,C0292,9,90,85,0
2024-09-05,Rice,C0026,9,73,66,0
2024-06-12,Milk,C0075,6,95,77,0
2024-12-22,Oil,C0299,4,54,47,0
2024-07-10,Eggs,C0150,4,30,13,0
2024-08-14,Dal,C0148,6,80,61,0
2024-06-25,Milk,C0008,5,63,57,0
2024-04-08,Oil,C0029,6,87,69,1
2024-02-05,Milk,C0296,7,44,35,0
2024-04-05,Milk,C0209,7,67,53,1
2024-05-31,Bread,C0128,9,51,44,0
2024-05-30,Oil,C0116,8,23,16,1
2024-07-08,Dal,C0144,6,57,45,0
2024-08-11,Butter,C0235,6,82,74,0
2024-02-06,Bread,C0007,5,66,58,0
2024-09-24,Milk,C0045,1,20,13,0
2024-07-01,Butter,C0239,9,22,7,0
2024-01-13,Sugar,C0155,9,81,76,0
2024-10-05,Butter,C0181,9,83,71,0
2024-08-04,Milk,C0215,8,36,17,0
2024-12-20,Milk,C0088,3,97,92,0
2024-12-26,Eggs,C0256,1,81,70,0
2024-10-12,Oil,C0073,8,54,45,0
2024-09-29,Oil,C0179,7,32,24,0
2024-03-02,Bread,C0212,5,54,46,0
2024-03-24,Dal,C0293,7,62,50,0
2024-08-04,Bread,C0234,4,21,6,0
2024-12-07,Rice,C0239,9,75,60,0
2024-07-05,Milk,C0223,2,96,79,0
2024-01-19,Butter,C0119,9,70,52,0
2024-06-25,Sugar,C0264,9,73,63,0
2024-04-09,Milk,C0207,5,35,17,1
2024-08-20,Milk,C0095,1,37,21,0
2024-03-16,Bread,C0222,7,26,21,0
2024-09-21,Sugar,C0276,4,64,46,0
2024-10-10,Sugar,C0231,9,55,41,0
2024-07-24,Sugar,C0119,6,60,48,0
2024-08-10,Bread,C0268,3,61,44,0
2024-02-21,Milk,C0273,6,26,8,1
2024-12-04,Bread,C0064,6,34,28,1
2024-05-23,Oil,C0298,5,79,69,0
2024-03-09,Oil,C0011,2,59,46,0
2024-04-08,Bread,C0098,2,56,51,0
2024-01-25,Sugar,C0071,7,85,75,0
2024-02-22,Eggs,C0058,2,74,62,1
2024-05-30,Milk,C0290,6,96,82,0
2024-05-23,Bread,C0251,5,99,82,0
2024-02-26,Bread,C0276,4,75,69,0
2024-02-08,Bread,C0050,7,63,54,0
2024-04-18,Eggs,C0216,8,76,66,1
2024-06-29,Eggs,C0052,4,25,16,0
2024-02-11,Rice,C0271,1,51,44,0
2024-07-04,Oil,C0084,1,93,85,0
2024-08-10,Butter,C0293,1,37,26,0
2024-05-01,Sugar,C0126,1,87,79,0
2024-05-12,Dal,C0296,5,92,79,0
2024-06-11,Eggs,C0072,4,26,11,0
2024-08-02,Butter,C0296,9,27,11,1
2024-08-08,Eggs,C0236,3,83,65,0
2024-08-22,Sugar,C0056,7,26,9,0
2024-11-26,Dal,C0110,8,60,43,0
